TemplateType=Shoes	Version=2015.1204	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.							Offer - Offer Information - These attributes are required to make your item buyable for customers on the site.																	Dimensions - Product Dimensions - These attributes specify the size and weight of a product.								Discovery - Item discovery information - These attributes have an effect on how customers can find your product on the site using browse or search.										Images - Image Information - See Image Instructions tab for details.								Fulfillment - Use these columns to provide fulfillment-related information for either Amazon-fulfilled (FBA) or seller-fulfilled orders.							Variation - Variation information - Populate these attributes if your product is available in different variations (for example colour or wattage).				Compliance - Compliance Information - Attributes used to comply with consumer laws in the country or region where the item is sold.			Ungrouped - These attributes create rich product listings for your buyers.																		
Seller SKU	Product Name	Product ID	Product ID Type	Brand	Product Description	Product Type	Style Number	Update Delete	Standard Price	Manufacturer's Suggested Retail Price	Product Tax Code	Fulfillment Latency	Launch Date	Release Date	Restock Date	Quantity	Sale Price	Sale Start Date	Sale End Date	Max Aggregate Ship Quantity	Item Package Quantity	Offering Can Be Gift Messaged	Is Gift Wrap Available	Is Discontinued by Manufacturer?	Shipping-Template	Shipping Weight	Website Shipping Weight Unit Of Measure	Item Weight Unit Of Measure	Item Weight	Item Length Unit Of Measure	Item Length	Item Width	Item Height	Key Product Features1	Key Product Features2	Key Product Features3	Key Product Features4	Key Product Features5	Recommended Browse Nodes	Search Terms	Style Keyword1	Style Keyword2	Style Keyword3	Main Image URL	Other Image URL1	Other Image URL2	Other Image URL3	Other Image URL4	Other Image URL5	Other Image URL6	Swatch Image URL	Fulfillment Center ID	Package height	Package Width	Package Length	Package Length Unit Of Measure	Package Weight	Package Weight Unit Of Measure	Parentage	Parent SKU	Relationship Type	Variation Theme	CPSIA Warning Description	Cpsia Warning	Country of Origin	Style Name	Model Year	Closure Type	Department	Color	Color Map	Size	Material Fabric	Fur Description	Pattern Style	Occasion Lifestyle	Special Features	character	Sole Material	Heel Type	Shoe Height Map	Toe Style	Water Resistance Level	Lining Description
item_sku	item_name	external_product_id	external_product_id_type	brand_name	product_description	feed_product_type	model	update_delete	standard_price	list_price	product_tax_code	fulfillment_latency	product_site_launch_date	merchant_release_date	restock_date	quantity	sale_price	sale_from_date	sale_end_date	max_aggregate_ship_quantity	item_package_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	website_shipping_weight	website_shipping_weight_unit_of_measure	item_weight_unit_of_measure	item_weight	item_length_unit_of_measure	item_length	item_width	item_height	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	recommended_browse_nodes	generic_keywords	style_keywords1	style_keywords2	style_keywords3	main_image_url	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	swatch_image_url	fulfillment_center_id	package_height	package_width	package_length	package_length_unit_of_measure	package_weight	package_weight_unit_of_measure	parent_child	parent_sku	relationship_type	variation_theme	cpsia_cautionary_description	cpsia_cautionary_statement	country_of_origin	style_name	model_year	closure_type	department_name	color_name	color_map	size_name	material_type	fur_description	pattern_type	lifestyle	special_features	subject_character	sole_material	heel_type	height_map	toe_style	water_resistance_level	lining_description
zsl-szak-men-6766								PartialUpdate																																																																												
zsl-szak-men-6766-grey-6								PartialUpdate																																	racing-flats	fisherman	comfort																																									
zsl-szak-men-6766-grey-6.5								PartialUpdate																																	flats-cycling-shoes	road-biking	platform																																									
zsl-szak-men-6766-grey-7								PartialUpdate																																	riding	cross-trainers	triathalon-multi-sport																																									
zsl-szak-men-6766-grey-8								PartialUpdate																																	d-orsay	running-spikes	road-biking																																									
zsl-szak-men-6766-grey-8.5								PartialUpdate																																	fisherman	backpacking	track-shoes																																									
zsl-szak-men-6766-grey-9.5								PartialUpdate																																	road-biking	motorcycle	track-shoes																																									
zsl-szak-men-6766-grey-10.5								PartialUpdate																																	riding	spectator	fisherman																																									
zsl-szak-men-6766-grey-11								PartialUpdate																																	cross-trainers	mountain-biking	slouch																																									
zsl-szak-men-6766-grey-12								PartialUpdate																																	fisherman	motorcycle	spectator																																									
zsl-szak-men-6766-grey-13								PartialUpdate																																	clipless-cycling-shoes	track-shoes	running-spikes																																									
zsl-szak-men-6766-black-6								PartialUpdate																																	road-biking	spectator	triathalon-multi-sport																																									
zsl-szak-men-6766-black-6.5								PartialUpdate																																	motorcycle	slouch	triathalon-multi-sport																																									
zsl-szak-men-6766-black-7								PartialUpdate																																	gladiator	cross-country-running	d-orsay																																									
zsl-szak-men-6766-black-8								PartialUpdate																																	fisherman	running-spikes	platform																																									
zsl-szak-men-6766-black-8.5								PartialUpdate																																	d-orsay	triathalon-multi-sport	platform																																									
zsl-szak-men-6766-black-9.5								PartialUpdate																																	trail-running	approach-hiking	slouch																																									
zsl-szak-men-6766-black-10.5								PartialUpdate																																	espadrille	triathalon-multi-sport	gladiator																																									
zsl-szak-men-6766-black-11								PartialUpdate																																	fisherman	sports-fan	espadrille																																									
zsl-szak-men-6766-black-12								PartialUpdate																																	track-shoes	riding	gladiator																																									
zsl-szak-men-6766-black-13								PartialUpdate																																	d-orsay	Mountaineering	engineer																																									
zsl-szak-men-6766-red-black-6								PartialUpdate																																	motorcycle	fisherman	d-orsay																																									
zsl-szak-men-6766-red-black-6.5								PartialUpdate																																	flats-cycling-shoes	clipless-cycling-shoes	triathalon-multi-sport																																									
zsl-szak-men-6766-red-black-7								PartialUpdate																																	approach-hiking	gladiator	spectator																																									
zsl-szak-men-6766-red-black-8								PartialUpdate																																	racing-flats	riding	motorcycle																																									
zsl-szak-men-6766-red-black-8.5								PartialUpdate																																	track-shoes	huarache	flats-cycling-shoes																																									
zsl-szak-men-6766-red-black-9.5								PartialUpdate																																	comfort	triathalon-multi-sport	cross-trainers																																									
zsl-szak-men-6766-red-black-10.5								PartialUpdate																																	cross-country-running	running-minimal	approach-hiking																																									
zsl-szak-men-6766-red-black-11								PartialUpdate																																	cross-country-running	sports-fan	backpacking																																									
zsl-szak-men-6766-red-black-12								PartialUpdate																																	riding	triathalon-multi-sport	comfort																																									
zsl-szak-men-6766-red-black-13								PartialUpdate																																	running-spikes	racing-flats	trail-running																																									
zsl-szak-men-6766-blue-6								PartialUpdate																																	huarache	platform	spectator																																									
zsl-szak-men-6766-blue-6.5								PartialUpdate																																	track-shoes	backpacking	motorcycle																																									
zsl-szak-men-6766-blue-7								PartialUpdate																																	running-spikes	racing-flats	clipless-cycling-shoes																																									
zsl-szak-men-6766-blue-8								PartialUpdate																																	road-biking	track-shoes	huarache																																									
zsl-szak-men-6766-blue-8.5								PartialUpdate																																	motorcycle	sports-fan	riding																																									
zsl-szak-men-6766-blue-9.5								PartialUpdate																																	triathalon-multi-sport	backpacking	platform																																									
zsl-szak-men-6766-blue-10.5								PartialUpdate																																	fisherman	flats-cycling-shoes	platform																																									
zsl-szak-men-6766-blue-11								PartialUpdate																																	sports-fan	mountain-biking	comfort																																									
zsl-szak-men-6766-blue-12								PartialUpdate																																	slouch	track-shoes	backpacking																																									
zsl-szak-men-6766-blue-13								PartialUpdate																																	track-shoes	huarache	trail-running																																									
