TemplateType=clothing	Version=2016.0518	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.									Offer-Offer Information - These attributes are required to make your item buyable for customers on the site.																		Dimensions-Product Dimensions - These attributes specify the size and weight of a product.								Discovery-Item discovery information - These attributes have an effect on how customers can find your product on the site using browse or search.							Images-Image Information - See Image Instructions tab for details.					Fulfillment-Use these columns to provide fulfillment-related information for either Amazon-fulfilled (FBA) or seller-fulfilled orders.							Variation-Variation information - Populate these attributes if your product is available in different variations (for example colour or wattage).				Compliance-Compliance Information - Attributes used to comply with consumer laws in the country or region where the item is sold.				Ungrouped - These attributes create rich product listings for your buyers.																																						
Seller SKU	Update Delete	Clothing Type	Product Description	Manufacturer Part Number	Style Number	Manufacturer	Product Name	Product ID Type	Product ID	Brand Name	Quantity	Standard Price	Sale Price	Sale Start Date	Sale End Date	Restock Date	Product Tax Code	Launch Date	Is Gift Wrap Available	Offering Can Be Gift Messaged	Number of Items	Shipping-Template	Release Date	Max Aggregate Ship Quantity	Manufacturer's Suggested Retail Price	Package Quantity	Is Discontinued by Manufacturer	Fulfillment Latency	Website Shipping Weight Unit Of Measure	Shipping Weight	Item Width	Item Weight Unit Of Measure	Item Weight	Item Length	Item Height	Item Dimensions Unit Of Measure	Recommended Browse Nodes	Search Terms	Key Product Features	Key Product Features	Key Product Features	Key Product Features	Key Product Features	Swatch Image URL	Other Image Url	Other Image Url	Other Image Url	Main Image URL	Package Width	Package Weight Unit Of Measure	Package Weight	Package Length	Package Height	Package Dimensions Unit Of Measure	Fulfillment Center ID	Variation Theme	Relationship Type	Parent SKU	Parentage	Consumer Notice	Cpsia Warning	CPSIA Warning Description	Country of Publication	Bottom Style	character	Color	Color Map	Department	Fit Type	Inseam	Inseam Length Unit Of Measure	Leg Diameter	Leg Diameter Unit Of Measure	Leg Style	Fabric Type	Fur Description	Opacity / Transparency	NeckStyle	Pattern Style	Pocket Description	Size	Size Map	Special Size Type	Sleeve Type	Additional Features	Style	Theme	Top Style	Underwire Type	WaistSize	Waist Size Unit Of Measure	Lens Color	Lens Color Map	Magnification Strength	Frame Material Type	Lens Material Type	Item Shape	Polarization Type	Eyewear Unit Of Measure	Lens Width	Occasion Lifestyle	Sport Type
item_sku	update_delete	product_subtype	product_description	part_number	model	manufacturer	item_name	external_product_id_type	external_product_id	brand_name	quantity	standard_price	sale_price	sale_from_date	sale_end_date	restock_date	product_tax_code	product_site_launch_date	offering_can_be_giftwrapped	offering_can_be_gift_messaged	number_of_items	merchant_shipping_group_name	merchant_release_date	max_aggregate_ship_quantity	list_price	item_package_quantity	is_discontinued_by_manufacturer	fulfillment_latency	website_shipping_weight_unit_of_measure	website_shipping_weight	item_width	item_weight_unit_of_measure	item_weight	item_length	item_height	item_dimensions_unit_of_measure	recommended_browse_nodes	generic_keywords	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	swatch_image_url	other_image_url1	other_image_url2	other_image_url3	main_image_url	package_width	package_weight_unit_of_measure	package_weight	package_length	package_height	package_dimensions_unit_of_measure	fulfillment_center_id	variation_theme	relationship_type	parent_sku	parent_child	prop_65	cpsia_cautionary_statement	cpsia_cautionary_description	country_of_origin	bottom_style	subject_character	color_name	color_map	department_name	fit_type	inseam_length	inseam_length_unit_of_measure	leg_diameter	leg_diameter_unit_of_measure	leg_style	fabric_type	fur_description	opacity	neck_style	pattern_type	pocket_description	size_name	size_map	special_size_type	sleeve_type	special_features	style_name	theme	top_style	underwire_type	waist_size	waist_size_unit_of_measure	lens_color	lens_color_map	magnification_strength	frame_material_type	lens_material_type	item_shape	polarization_type	eyewear_unit_of_measure	lens_width	lifestyle	sport_type
zsl-1-men-wolf0000	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts			Dnstar																											10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red		http://pic.dnsheng.cn/pics/wolf0000/05.jpg	http://pic.dnsheng.cn/pics/wolf0000/04.jpg	http://pic.dnsheng.cn/pics/wolf0000/03.jpg	http://pic.dnsheng.cn/pics/wolf0000/01.jpg								sizecolor			Parent					Tee Shirts	Game of Thrones			mens	Regular						100% cotton				Patterned	No Back Pocket						Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
zsl-1-men-wolf0000-LightBlue-black-S	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts LightBlue-black S	UPC	6935409005452	Dnstar	20	15.99													39.99												10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red				http://pic.dnsheng.cn/pics/wolf0000/02.jpg	http://pic.dnsheng.cn/pics/wolf0000/01.jpg								sizecolor	Variation	zsl-1-men-wolf0000	Child					Tee Shirts	Game of Thrones	LightBlue-black	LightBlue-black	mens	Regular						100% cotton				Patterned	No Back Pocket	S	Small				Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
zsl-1-men-wolf0000-LightBlue-black-M	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts LightBlue-black M	UPC	6935409005469	Dnstar	20	15.99													39.99												10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red				http://pic.dnsheng.cn/pics/wolf0000/02.jpg	http://pic.dnsheng.cn/pics/wolf0000/01.jpg								sizecolor	Variation	zsl-1-men-wolf0000	Child					Tee Shirts	Game of Thrones	LightBlue-black	LightBlue-black	mens	Regular						100% cotton				Patterned	No Back Pocket	M	Medium				Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
zsl-1-men-wolf0000-LightBlue-black-L	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts LightBlue-black L	UPC	6935409005476	Dnstar	20	15.99													39.99												10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red				http://pic.dnsheng.cn/pics/wolf0000/02.jpg	http://pic.dnsheng.cn/pics/wolf0000/01.jpg								sizecolor	Variation	zsl-1-men-wolf0000	Child					Tee Shirts	Game of Thrones	LightBlue-black	LightBlue-black	mens	Regular						100% cotton				Patterned	No Back Pocket	L	Large				Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
zsl-1-men-wolf0000-LightBlue-black-XL	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts LightBlue-black XL	UPC	6935409005483	Dnstar	20	15.99													39.99												10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red				http://pic.dnsheng.cn/pics/wolf0000/02.jpg	http://pic.dnsheng.cn/pics/wolf0000/01.jpg								sizecolor	Variation	zsl-1-men-wolf0000	Child					Tee Shirts	Game of Thrones	LightBlue-black	LightBlue-black	mens	Regular						100% cotton				Patterned	No Back Pocket	XL	X-Large				Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
zsl-1-men-wolf0000-LightBlue-white-S	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts LightBlue-white S	UPC	6935409005490	Dnstar	20	15.99													39.99												10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red					http://pic.dnsheng.cn/pics/wolf0000/03.jpg								sizecolor	Variation	zsl-1-men-wolf0000	Child					Tee Shirts	Game of Thrones	LightBlue-white	LightBlue-white	mens	Regular						100% cotton				Patterned	No Back Pocket	S	Small				Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
zsl-1-men-wolf0000-LightBlue-white-M	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts LightBlue-white M	UPC	6935409005506	Dnstar	20	15.99													39.99												10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red					http://pic.dnsheng.cn/pics/wolf0000/03.jpg								sizecolor	Variation	zsl-1-men-wolf0000	Child					Tee Shirts	Game of Thrones	LightBlue-white	LightBlue-white	mens	Regular						100% cotton				Patterned	No Back Pocket	M	Medium				Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
zsl-1-men-wolf0000-LightBlue-white-L	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts LightBlue-white L	UPC	6935409005513	Dnstar	20	15.99													39.99												10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red					http://pic.dnsheng.cn/pics/wolf0000/03.jpg								sizecolor	Variation	zsl-1-men-wolf0000	Child					Tee Shirts	Game of Thrones	LightBlue-white	LightBlue-white	mens	Regular						100% cotton				Patterned	No Back Pocket	L	Large				Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
zsl-1-men-wolf0000-LightBlue-white-XL	Update	Shirt	"Dnstar is a collection of garment processing, design, the production, the sale, the export of integrated professional clothing company. 
From the beginning, and always will be a good faith management as the cornerstone of development, adhering to the integrity, high quality, service and innovation, the company will be in the tenet of quality, price and delivery time, after-sales service let you rest assured, gratified.

Our Size is Standard US Size, Choose the right size before you buy our items. Thanks.
Please bother us if you have questions!"				Dnstar Game Of Thrones Winter Is Coming Men's And Women's Cotton Wolf Tshirts LightBlue-white XL	UPC	6935409005520	Dnstar	20	15.99													39.99												10287299011		"MATERIAL: 100% Cotton, Soft Cotton blend, light weight, soft and comfortable"	"Have Fun: This is a fun t shirt, you will be pride of this great t shirt. You can get is for your family and friends as a gift."	"Size: Please choose American standard size, We will give your the right size as you can wear comfortable."	About Ship: We guarantee prompt delivery. Shipping first time.  About 7-15 days.	Wash: Machine Wash or Hand Washing. || Color: LightBlue-black LightBlue-white Red-black Red-white White-black Black-white Blue-black Blue-white Purple-black Purple-white Pink-black Pink-white NavyBlue-white LightGrey-black LightGrey-white WineRed-black WineRed-white Grey-black Grey-white White-black White-black-red					http://pic.dnsheng.cn/pics/wolf0000/03.jpg								sizecolor	Variation	zsl-1-men-wolf0000	Child					Tee Shirts	Game of Thrones	LightBlue-white	LightBlue-white	mens	Regular						100% cotton				Patterned	No Back Pocket	XL	X-Large				Modern/Fitted	TV & Movies														outdoor_lifestyle	Running
