Feed Processing Summary:
	Number of records processed		41
	Number of records successful		0

Looking for an easier way to take action on your listings? Check out the new Complete Your Drafts experience!  
CYD saves your listings as drafts if they don't meet all the requirements at the time of submission.
To complete your drafts, simply click on 'Catalog' > 'Complete Your Drafts' on Seller Central or follow this link to go directly to your drafts: https://sellercentral.amazon.com/inventory/view/DRAFT?ref_=xx_invdraft_ff_3ptpsr&myiFilters=SearchType&SearchType=batchid&batchid=50023017333

original-record-number	sku	error-code	error-type	error-message
1	zsl-szak-men-6766	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
10	zsl-szak-men-6766-grey-12	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
11	zsl-szak-men-6766-grey-13	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
12	zsl-szak-men-6766-black-6	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
13	zsl-szak-men-6766-black-6.5	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
14	zsl-szak-men-6766-black-7	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
15	zsl-szak-men-6766-black-8	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
16	zsl-szak-men-6766-black-8.5	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
17	zsl-szak-men-6766-black-9.5	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
18	zsl-szak-men-6766-black-10.5	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
19	zsl-szak-men-6766-black-11	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
2	zsl-szak-men-6766-grey-6	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
2	zsl-szak-men-6766	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
20	zsl-szak-men-6766-black-12	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
21	zsl-szak-men-6766-black-13	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
22	zsl-szak-men-6766-red-black-6	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
23	zsl-szak-men-6766-red-black-6.5	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
24	zsl-szak-men-6766-red-black-7	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
25	zsl-szak-men-6766-red-black-8	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
