TemplateType=Shoes	Version=2015.1204	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.							Offer - Offer Information - These attributes are required to make your item buyable for customers on the site.																	Dimensions - Product Dimensions - These attributes specify the size and weight of a product.								Discovery - Item discovery information - These attributes have an effect on how customers can find your product on the site using browse or search.										Images - Image Information - See Image Instructions tab for details.								Fulfillment - Use these columns to provide fulfillment-related information for either Amazon-fulfilled (FBA) or seller-fulfilled orders.							Variation - Variation information - Populate these attributes if your product is available in different variations (for example colour or wattage).				Compliance - Compliance Information - Attributes used to comply with consumer laws in the country or region where the item is sold.			Ungrouped - These attributes create rich product listings for your buyers.																		
Seller SKU	Product Name	Product ID	Product ID Type	Brand	Product Description	Product Type	Style Number	Update Delete	Standard Price	Manufacturer's Suggested Retail Price	Product Tax Code	Fulfillment Latency	Launch Date	Release Date	Restock Date	Quantity	Sale Price	Sale Start Date	Sale End Date	Max Aggregate Ship Quantity	Item Package Quantity	Offering Can Be Gift Messaged	Is Gift Wrap Available	Is Discontinued by Manufacturer?	Shipping-Template	Shipping Weight	Website Shipping Weight Unit Of Measure	Item Weight Unit Of Measure	Item Weight	Item Length Unit Of Measure	Item Length	Item Width	Item Height	Key Product Features1	Key Product Features2	Key Product Features3	Key Product Features4	Key Product Features5	Recommended Browse Nodes	Search Terms	Style Keyword1	Style Keyword2	Style Keyword3	Main Image URL	Other Image URL1	Other Image URL2	Other Image URL3	Other Image URL4	Other Image URL5	Other Image URL6	Swatch Image URL	Fulfillment Center ID	Package height	Package Width	Package Length	Package Length Unit Of Measure	Package Weight	Package Weight Unit Of Measure	Parentage	Parent SKU	Relationship Type	Variation Theme	CPSIA Warning Description	Cpsia Warning	Country of Origin	Style Name	Model Year	Closure Type	Department	Color	Color Map	Size	Material Fabric	Fur Description	Pattern Style	Occasion Lifestyle	Special Features	character	Sole Material	Heel Type	Shoe Height Map	Toe Style	Water Resistance Level	Lining Description
item_sku	item_name	external_product_id	external_product_id_type	brand_name	product_description	feed_product_type	model	update_delete	standard_price	list_price	product_tax_code	fulfillment_latency	product_site_launch_date	merchant_release_date	restock_date	quantity	sale_price	sale_from_date	sale_end_date	max_aggregate_ship_quantity	item_package_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	website_shipping_weight	website_shipping_weight_unit_of_measure	item_weight_unit_of_measure	item_weight	item_length_unit_of_measure	item_length	item_width	item_height	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	recommended_browse_nodes	generic_keywords	style_keywords1	style_keywords2	style_keywords3	main_image_url	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	swatch_image_url	fulfillment_center_id	package_height	package_width	package_length	package_length_unit_of_measure	package_weight	package_weight_unit_of_measure	parent_child	parent_sku	relationship_type	variation_theme	cpsia_cautionary_description	cpsia_cautionary_statement	country_of_origin	style_name	model_year	closure_type	department_name	color_name	color_map	size_name	material_type	fur_description	pattern_type	lifestyle	special_features	subject_character	sole_material	heel_type	height_map	toe_style	water_resistance_level	lining_description
zsl-szak-men-6766	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes		UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES																												"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011		Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/02.jpg	http://img.hejiegm.cn/img/am/aoka6766/04.jpg	http://img.hejiegm.cn/img/am/aoka6766/05.jpg												Parent			sizecolor			China	model	2017		mens				70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-szak-men-6766-grey-6	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 6   ( EU 38 )	603432538150 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			49.99	99.98		4				10																		"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011	 canvas shoes white shoes for men footwear branded shoes mens summer shoes white shoes loafer shoes men footwear discount mens shoes slip on shoes for men mens casual dress shoes toe shoes designer shoes for men buy shoes cheap mens shoes online mens canvas shoes mens leather shoes cheap mens dress shoes slip on shoes leather shoes shoe sale deck shoes black shoes nice shoes for men mens sneakers mens boat shoes discount shoes best casual shoes for men wingtip shoes boat shoes for men shoes online mens mens driving shoes mens brown shoes casual men shoes suede shoes casual dress shoes shoe shops mens smart shoes cheap shoes online mens dress boots cheap men shoes online mens shoes on sale brown shoes mens dress shoes sale men formal shoes mens deck shoes shoes for man black mens shoes italian shoes	Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	sizecolor			China	model	2017		mens	grey	grey	US 6   ( EU 38 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-szak-men-6766-grey-6.5	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 6.5 ( EU 39 )	603432538167 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			49.99	99.98		4				10																		"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011	 mens wide shoes sneakers shoes cheap dress shoes footwear mens mens footwear sale italian shoes for men mens shoes casual mens sports shoes designer mens shoes men shoes on sale stylish shoes for men mens white shoes buy mens shoes online mens fashion shoes dress sneakers online mens shoes best mens dress shoes shoes on sale men designer shoes ecco mens shoes shoes for sale shoe stores online cool mens shoes online shopping shoes for mens shoe brands athletic shoes wide shoes mens basketball shoes mens walking shoes boots shoes best shoes male shoes black dress shoes wide width shoes buy mens shoes mens discount shoes mens shoes online shopping fashion shoes shoe sale online footwear for mens online shopping for men shoes best mens shoes dress shoes men mens tennis shoes shoe shops online	Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	sizecolor			China	model	2017		mens	grey	grey	US 6.5 ( EU 39 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-szak-men-6766-grey-7	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 7   ( EU 40 )	603432538174 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			49.99	99.98		4				10																		"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011	 mens oxford shoes guys shoes discount mens dress shoes cheap sneakers for men casual leather shoes casual dress shoes for men mens shoes brands mens dress sandals mens shoe stores online shoes for mens wide mens shoes comfortable mens shoes casual shoes online mens suede shoes patent leather shoes white mens shoes online shoes for men clearance shoes discount shoes online shoes casual cool shoes for men mens casual shoes online best shoes for men men's footwear online mens shoes cheap slip on mens shoes mens brown dress shoes men leather shoes shoe shopping formal mens shoes stylish mens shoes shopping shoes online men shoes footwear for men shoes buy buy shoes online cheap men's footwear online shopping men shoes sale online shoe shops shoes for guys mens business shoes mens comfort shoes	Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	sizecolor			China	model	2017		mens	grey	grey	US 7   ( EU 40 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-szak-men-6766-grey-8	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 8   ( EU 41 )	603432538181 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			49.99	99.98		4				10																		"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011	 mens shoe shops sneakers for men online online shopping shoes for men mens black dress shoes sale shoes cheap designer shoes cheap dress shoes for men mens shoes boots mens shoes sale online casual male shoes mens black casual shoes comfortable dress shoes mens shoes size 14 designer men shoes mens shoes for sale mens black sneakers mens sneakers online trendy mens shoes casual shoes for men online quality mens shoes mens loafers online online shopping mens shoes shoes for men online shopping mens wedding shoes narrow shoes buy men shoes online black shoes mens black shoes men mens dress shoes online mens dress sneakers all black shoes mens mens casual shoes sale loafers for men online stylish shoes shoes online men discount dress shoes shop shoes online shoe stores shoe boots big mens shoes	Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	sizecolor			China	model	2017		mens	grey	grey	US 8   ( EU 41 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-szak-men-6766-grey-8.5	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 8.5 ( EU 42 )	603432538198 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			49.99	99.98		4				10																		"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011	 mens shoe boots leather mens shoes online buy shoes mens cheap shoes shoes for less dress tennis shoes dressy shoes shoe outlet mens athletic shoes online shoes shopping for men mens stylish shoes men s shoes mens dress casual shoes black casual shoes mens large mens shoes mens shoe store large size mens shoes shoes mens online mens sneaker boots mens cheap shoes online mens shoes online sale shoes online sale mens shoe brands shop shoes online branded casual shoes for men casual shoes mens fashion shoes for men footwear men mens shoes on sale online online shopping for men's shoes man shoes online shopping footwear shoes cheap mens sneakers casual loafers mens shoes discount mens brown leather shoes casual dress shoes mens casual footwear male shoes online best online shoe store	Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	sizecolor			China	model	2017		mens	grey	grey	US 8.5 ( EU 42 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-szak-men-6766-grey-9.5	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 9.5 ( EU 43 )	603432538204 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			49.99	99.98		4				10																		"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011	 cheap online shoes mens white dress shoes men black shoes m and s mens shoes buy cheap shoes mens casual loafers online shoes shopping for men's womens narrow shoes italian mens shoes sale on shoes men fashion shoes mens shoes fashion shoes and boots shoes for mens online shoes online cheap buy shoes for men order shoes online online shoes mens shoes for sale online cheap athletic shoes black men shoes flats for men mens online shoes mens casual brown shoes where to buy mens shoes mens trainers online mens casual black shoes shop mens shoes mens trendy shoes all black sneakers mens outlet shoes top mens shoes sneaker dress shoes mens italian shoes purchase shoes online expensive mens shoes summer shoes for men cheap mens casual shoes online shopping sites for men's footwear all black mens shoes	Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	sizecolor			China	model	2017		mens	grey	grey	US 9.5 ( EU 43 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-szak-men-6766-grey-10.5	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 10.5( EU 44.5 )	603432538211 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			49.99	99.98		4				10																		"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011	 online shoes men trainers shoes mens shoes black casual loafers for men mens shoes online cheap cheap shoes mens new mens shoes cyber monday mens shoes suede mens shoes mens leather shoes sale shoes online buy cheap mens sneakers online casual dress shoes men high shoes cheap shoes for men online mens slippers online sneaker boots mens men footwear online mens dress tennis shoes discount athletic shoes mens leather shoes online buy mens dress shoes mens nice shoes mens shoes and boots online shopping men shoes male sneakers kids athletic shoes brown mens shoes classic mens shoes male loafers online shopping mens footwear shoe stores for men casual leather shoes for men men shoe store mens sandals sale online black casual shoes for men online shopping footwear mens sneaker boots men	Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	sizecolor			China	model	2017		mens	grey	grey	US 10.5( EU 44.5 )	70% Mesh fabric/30% Rubber		Solid	Sports								
zsl-szak-men-6766-grey-11	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 11  ( EU 45 )	603432538228 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			49.99	99.98		4				10																		"About 0.25kg, Three layers Spandex"	2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	Running Tourism Outdoor Sports Party Driving Walk Work	It will be surprise Thank you	10293392011	 mens shoes cheap online best online shopping for men's shoes mens pumps shoes mens casual boots sale footwear for mens online mens footwears casual mens dress shoes shoes mens casual m & s mens shoes branded casual shoes for mens cheap black shoes mens casual shoes for men on sale mens leather dress shoes mens shoes for sale online mens shoes brown latest men shoes mens leather shoes casual walking shoes men shop mens shoes online men footwear online shopping formal sandals for mens shoe boots mens mens shoes offer online mens shoes near me mens casual shoes on sale shoes male cheap men sneakers mens shoes for cheap mens shoes size 15 shoes of men dressy mens shoes buy mens sneakers online dress sandals for men dress sneakers for men casual dress boots for men online men shoes shopping	Mountaineering	Running	running-minimal	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	sizecolor			China	model	2017		mens	grey	grey	US 11  ( EU 45 )	70% Mesh fabric/30% Rubber		Solid	Sports								
