Feed Processing Summary:
	Number of records processed		27
	Number of records successful		1

Looking for an easier way to take action on your listings? Check out the new Complete Your Drafts experience!  
CYD saves your listings as drafts if they don't meet all the requirements at the time of submission.
To complete your drafts, simply click on 'Catalog' > 'Complete Your Drafts' on Seller Central or follow this link to go directly to your drafts: https://sellercentral.amazon.com/inventory/view/DRAFT?ref_=xx_invdraft_ff_3ptpsr&myiFilters=SearchType&SearchType=batchid&batchid=50029017335

original-record-number	sku	error-code	error-type	error-message
10	zsl-xxl-men-XXLXR9851-Black-47	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-47' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
11	zsl-xxl-men-XXLXR9851-Black-48	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-48' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
12	zsl-xxl-men-XXLXR9851-Red-39	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Red-39' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
13	zsl-xxl-men-XXLXR9851-Red-40	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Red-40' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
14	zsl-xxl-men-XXLXR9851-Red-41	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Red-41' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
15	zsl-xxl-men-XXLXR9851-Red-42	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Red-42' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
16	zsl-xxl-men-XXLXR9851-Red-43	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Red-43' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
17	zsl-xxl-men-XXLXR9851-Red-44	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Red-44' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
18	zsl-xxl-men-XXLXR9851-Blue-39	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-39' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
19	zsl-xxl-men-XXLXR9851-Blue-40	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-40' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
2	zsl-xxl-men-XXLXR9851-Black-39	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-39' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
20	zsl-xxl-men-XXLXR9851-Blue-41	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-41' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
21	zsl-xxl-men-XXLXR9851-Blue-42	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-42' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
22	zsl-xxl-men-XXLXR9851-Blue-43	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-43' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
23	zsl-xxl-men-XXLXR9851-Blue-44	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-44' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
24	zsl-xxl-men-XXLXR9851-Blue-45	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-45' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
25	zsl-xxl-men-XXLXR9851-Blue-46	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-46' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
26	zsl-xxl-men-XXLXR9851-Blue-47	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-47' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
27	zsl-xxl-men-XXLXR9851-Blue-48	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Blue-48' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
3	zsl-xxl-men-XXLXR9851-Black-40	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-40' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
4	zsl-xxl-men-XXLXR9851-Black-41	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-41' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
5	zsl-xxl-men-XXLXR9851-Black-42	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-42' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
6	zsl-xxl-men-XXLXR9851-Black-43	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-43' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
7	zsl-xxl-men-XXLXR9851-Black-44	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-44' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
8	zsl-xxl-men-XXLXR9851-Black-45	8603	Error	You cannot change the 'item_classification' for SKU 'zsl-xxl-men-XXLXR9851-Black-45' by submitting a feed with a new value. To change this attribute, do the following: 1) Submit a feed to delete the existing SKU.  2) Submit a feed to recreate the SKU with the updated 'item_classification'.
