TemplateType=Shoes	Version=2015.1204	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.							Offer - Offer Information - These attributes are required to make your item buyable for customers on the site.																	Dimensions - Product Dimensions - These attributes specify the size and weight of a product.								Discovery - Item discovery information - These attributes have an effect on how customers can find your product on the site using browse or search.										Images - Image Information - See Image Instructions tab for details.								Fulfillment - Use these columns to provide fulfillment-related information for either Amazon-fulfilled (FBA) or seller-fulfilled orders.							Variation - Variation information - Populate these attributes if your product is available in different variations (for example colour or wattage).				Compliance - Compliance Information - Attributes used to comply with consumer laws in the country or region where the item is sold.			Ungrouped - These attributes create rich product listings for your buyers.																		
Seller SKU	Product Name	Product ID	Product ID Type	Brand	Product Description	Product Type	Style Number	Update Delete	Standard Price	Manufacturer's Suggested Retail Price	Product Tax Code	Fulfillment Latency	Launch Date	Release Date	Restock Date	Quantity	Sale Price	Sale Start Date	Sale End Date	Max Aggregate Ship Quantity	Item Package Quantity	Offering Can Be Gift Messaged	Is Gift Wrap Available	Is Discontinued by Manufacturer?	Shipping-Template	Shipping Weight	Website Shipping Weight Unit Of Measure	Item Weight Unit Of Measure	Item Weight	Item Length Unit Of Measure	Item Length	Item Width	Item Height	Key Product Features1	Key Product Features2	Key Product Features3	Key Product Features4	Key Product Features5	Recommended Browse Nodes	Search Terms	Style Keyword1	Style Keyword2	Style Keyword3	Main Image URL	Other Image URL1	Other Image URL2	Other Image URL3	Other Image URL4	Other Image URL5	Other Image URL6	Swatch Image URL	Fulfillment Center ID	Package height	Package Width	Package Length	Package Length Unit Of Measure	Package Weight	Package Weight Unit Of Measure	Parentage	Parent SKU	Relationship Type	Variation Theme	CPSIA Warning Description	Cpsia Warning	Country of Origin	Style Name	Model Year	Closure Type	Department	Color	Color Map	Size	Material Fabric	Fur Description	Pattern Style	Occasion Lifestyle	Special Features	character	Sole Material	Heel Type	Shoe Height Map	Toe Style	Water Resistance Level	Lining Description
item_sku	item_name	external_product_id	external_product_id_type	brand_name	product_description	feed_product_type	model	update_delete	standard_price	list_price	product_tax_code	fulfillment_latency	product_site_launch_date	merchant_release_date	restock_date	quantity	sale_price	sale_from_date	sale_end_date	max_aggregate_ship_quantity	item_package_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	website_shipping_weight	website_shipping_weight_unit_of_measure	item_weight_unit_of_measure	item_weight	item_length_unit_of_measure	item_length	item_width	item_height	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	recommended_browse_nodes	generic_keywords	style_keywords1	style_keywords2	style_keywords3	main_image_url	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	swatch_image_url	fulfillment_center_id	package_height	package_width	package_length	package_length_unit_of_measure	package_weight	package_weight_unit_of_measure	parent_child	parent_sku	relationship_type	variation_theme	cpsia_cautionary_description	cpsia_cautionary_statement	country_of_origin	style_name	model_year	closure_type	department_name	color_name	color_map	size_name	material_type	fur_description	pattern_type	lifestyle	special_features	subject_character	sole_material	heel_type	height_map	toe_style	water_resistance_level	lining_description
zsl-haolilai-men-3562	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes		UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES																												2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011		Mountaineering	Mountaineering	Mountaineering	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/01.jpg	http://img.hejiegm.cn/img/am/3562/17.jpg	http://img.hejiegm.cn/img/am/3562/12.jpg												Parent			sizecolor			China	model	2017		mens				75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-haolilai-men-3562-Black-36	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes Black US 4.5 (EU 35)	603432858777 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			39.99	95.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 mens shoes online good marathon shoes running sports shoes best female running shoes how to stretch out fabric shoes is going barefoot bad for your feet breathable footwear womens shoes black dress shoes running shoes retro running shoes women and shoes online shop for shoes shoes cheap running shoe stores star canvas shoes waterproof leather hiking boots running sneakers sale dress sneakers for women shoes for sale online good cross training shoes for men fabric heels lime green high heels running shoes women wide width womens shoes best female running shoes waterproof walking boots top ranked running shoes materials for shoes best workout shoes for women 2017 shoes online good shoes for running runners shoes red driving shoes trendy shoes best rated mens running shoes the best shoes for running	approach-hiking	approach-hiking	approach-hiking	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/07.jpg	http://img.hejiegm.cn/img/am/3562/08.jpg	http://img.hejiegm.cn/img/am/3562/09.jpg	http://img.hejiegm.cn/img/am/3562/11.jpg											Child	zsl-haolilai-men-3562	Variation	sizecolor			China	model	2017		mens	Black	Black	US 4.5 ( EU 35 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-haolilai-men-3562-Black-37	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes Black US 5 (EU 36)	603432858784 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			39.99	95.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 why do people go barefoot shoe sites wholesale shoes cross trainer running office shoes online shoe stores for women best womens workout shoes high heels platform sports shoes black best running shoes 2017 for men shoes at home air cushion technology clearance hiking boots white fashion shoes where to shop for shoes online stability running shoes best running shoes ever men's mid hiking boots athletic sneakers af1 shoes summer walking shoes ultra marathon shoes fashion store black leather hiking boots wide hiking boots wide shoes for men neutral running shoes 2017 camper shoes style shoes trendy cheap shoes best trainers for sweaty feet best shoes high heels for women how to modge podge shoes how to decorate old shoes leather shoes for men with price good long distance running shoes	backpacking	backpacking	backpacking	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/07.jpg	http://img.hejiegm.cn/img/am/3562/08.jpg	http://img.hejiegm.cn/img/am/3562/09.jpg	http://img.hejiegm.cn/img/am/3562/11.jpg											Child	zsl-haolilai-men-3562	Variation	sizecolor			China	model	2017		mens	Black	Black	US 5   ( EU 36 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-haolilai-men-3562-Black-38	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes Black US 5.5 (EU 37)	603432858791 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			39.99	95.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 training sneakers womens high arch running shoes casual boots for men casual shoes loafers men latest heel shoes all leather mens shoes sports shoes low price shoes for men mens trail running shoes saddle shoes mens leather slip ons asic running shoes light shoes casual mens dress shoes large size womens shoes aqua heels outdoor shoes mens mens brown shoes the best running sneakers best workout shoes men running shoes pink shoes shopping footwear womens dress shoes online wiz khalifa shoes stylish ladies footwear comfortable dress shoes black moccasins men red sneakers where to buy running shoes shoe dept online store dogs wearing shoes summer shoes for women kickers shoes parklane shoes womens shoes on sale online mens tan casual shoes mens athletic shoes light comfortable shoes	clipless-cycling-shoes	clipless-cycling-shoes	clipless-cycling-shoes	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/07.jpg	http://img.hejiegm.cn/img/am/3562/08.jpg	http://img.hejiegm.cn/img/am/3562/09.jpg	http://img.hejiegm.cn/img/am/3562/11.jpg											Child	zsl-haolilai-men-3562	Variation	sizecolor			China	model	2017		mens	Black	Black	US 5.5 ( EU 37 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-haolilai-men-3562-Black-39	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes Black US 6 (EU 38)	603432858807 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			39.99	95.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 best shoes to run in lightweight hiking boots for women how to stretch fabric shoes best running shoes for distance shoes shoes shoes shoes best running shoe in the world mens dress casual shoes air insoles running shoes for women cute ladies shoes fashion trainers grey suede heels walking shoes driving footwear lightest running shoes ever air cushion shoes easy spirit shoes trendy womens slippers tec shoes shoe department shoes comfortable shoes for women good long distance running shoes black fashion shoes hiking shoes online shopping footwear women's shoes for women best shoes for women ladies shoes size 5 online shopping of ladies shoes online shopping womens footwear decoupage canvas shoes best cushioned training shoes nice shoes men www mens shoes multi colored high heels	comfort	comfort	comfort	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/07.jpg	http://img.hejiegm.cn/img/am/3562/08.jpg	http://img.hejiegm.cn/img/am/3562/09.jpg	http://img.hejiegm.cn/img/am/3562/11.jpg											Child	zsl-haolilai-men-3562	Variation	sizecolor			China	model	2017		mens	Black	Black	US 6   ( EU 38 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-haolilai-men-3562-Black-40	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes Black US 6.5 (EU 39)	603432858814 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			39.99	95.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 fabric shoes ladies casual shoes dress shoes for guys shoes with cushioned insoles best padded running shoes kids shoes football shoes online shoes dress casual shoes best waterproof shoes benefits of wearing shoes best rated running shoes women training for marathon boat shoes mens fashion shoes sparkly shoes cool mens running shoes rocket dog shoes mens fashion shoes mens casual summer shoes stilettos shoes branded running shoes running shoes the best mens casual shoes online shopping best running shoes for men 2017 buy hiking shoes online cyber monday mens shoes womens shoes sale men and women shoes womens trainer shoes walking shoes vs running shoes mens shoes brown leather white womens shoes best long distance running shoes for women maroon color shoes best womens cross training shoes	cross-country-running	cross-country-running	cross-country-running	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/07.jpg	http://img.hejiegm.cn/img/am/3562/08.jpg	http://img.hejiegm.cn/img/am/3562/09.jpg	http://img.hejiegm.cn/img/am/3562/11.jpg											Child	zsl-haolilai-men-3562	Variation	sizecolor			China	model	2017		mens	Black	Black	US 6.5 ( EU 39 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-haolilai-men-3562-Black-41	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes Black US 7 (EU 40)	603432858821 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			39.99	95.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 mens suede loafers sale best shoes to run marathon cool shoes online womens shoes shopping flat shoes online casual shoes for mens shoes women dry shoes light hiking shoes best exercise shoes runners shoes cream colored shoes men in loafers yellow box shoes pathfinder shoes water hiking boots mens shoes and boots best running shoes womens 2017 dress sandals men wearing only shoes mens casual shoes low price silver pumps shoes ladies casual shoes most popular running shoes 2017 white high heel pumps walking shoes leather online shopping of shoes shoe dept womens boots boston marathon gear training shoes vs running shoes high heel pumps patent leather shoes teal color shoes why not shoes lightweight womens running shoes best mens running shoes sport shoes style top ten running shoe	cross-trainers	cross-trainers	cross-trainers	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/07.jpg	http://img.hejiegm.cn/img/am/3562/08.jpg	http://img.hejiegm.cn/img/am/3562/09.jpg	http://img.hejiegm.cn/img/am/3562/11.jpg											Child	zsl-haolilai-men-3562	Variation	sizecolor			China	model	2017		mens	Black	Black	US 7   ( EU 40 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-haolilai-men-3562-Black-42	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes Black US 8 (EU 41)	603432858838 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			39.99	95.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 sport shoes for men online benefits of walking barefoot trek shoes online mens hiking boots wide width shoes for men shop running shoes driving shoes for mens womens hiking boots on sale don t stop living shoes boat shoes white open toe heels mens leather shoes online comfortable shoes shoes basketball lightweight running shoes beatles shoes fall womens shoes court shoes ladies shoes fabric pumps mens hiking boots sale shoes off in the house ladies loafers black shoes men ladies black slippers best marathon running shoes buy fashion shoes mod podge shoes waterproof black loafer shoes mens mens driver loafers mens athletic shoes shoes for him purple platform heels womens formal shoes mens casual shoes 2017 flat shoes online shoes buy women's cross training shoes suede mens loafers	d-orsay	d-orsay	d-orsay	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/07.jpg	http://img.hejiegm.cn/img/am/3562/08.jpg	http://img.hejiegm.cn/img/am/3562/09.jpg	http://img.hejiegm.cn/img/am/3562/11.jpg											Child	zsl-haolilai-men-3562	Variation	sizecolor			China	model	2017		mens	Black	Black	US 8   ( EU 41 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-haolilai-men-3562-Black-43	King Wear Men's Fashion Lightweight Running Shoes  Breathable Athletic Sneakers Casual Walking Shoes Black US 8.5 (EU 42)	603432858845 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			39.99	95.98		4				10																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 world's best running shoes dr matens ladies sneakers men footwear online shopping trendy boots best cushioned running shoes for men best outdoor shoes for men best running shoes for stability wide width shoes what's the best running shoes earth shoes vestige shoes sport shoes 2017 shoes for cheap driving shoes mens fashion workout gym shoes womens training loafers for women shoe shoe top rated mens running shoes best womens running shoe lightweight mens running shoes spikes running shoes mens motorsport shoes top selling running shoes youth running shoes summer shoes for women mens black dress shoes on sale mens casual trainers cheap womens shoes men's white dress shoes croc shoes teal shoes best wide cross training shoes top 10 running shoes 2017 arturo shoes all black sneakers womens	engineer	engineer	engineer	http://img.hejiegm.cn/img/am/3562/10.jpg	http://img.hejiegm.cn/img/am/3562/07.jpg	http://img.hejiegm.cn/img/am/3562/08.jpg	http://img.hejiegm.cn/img/am/3562/09.jpg	http://img.hejiegm.cn/img/am/3562/11.jpg											Child	zsl-haolilai-men-3562	Variation	sizecolor			China	model	2017		mens	Black	Black	US 8.5 ( EU 42 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
