TemplateType=Shoes	Version=2015.1204	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.							Offer - Offer Information - These attributes are required to make your item buyable for customers on the site.																	Dimensions - Product Dimensions - These attributes specify the size and weight of a product.								Discovery - Item discovery information - These attributes have an effect on how customers can find your product on the site using browse or search.										Images - Image Information - See Image Instructions tab for details.								Fulfillment - Use these columns to provide fulfillment-related information for either Amazon-fulfilled (FBA) or seller-fulfilled orders.							Variation - Variation information - Populate these attributes if your product is available in different variations (for example colour or wattage).				Compliance - Compliance Information - Attributes used to comply with consumer laws in the country or region where the item is sold.			Ungrouped - These attributes create rich product listings for your buyers.																		
Seller SKU	Product Name	Product ID	Product ID Type	Brand	Product Description	Product Type	Style Number	Update Delete	Standard Price	Manufacturer's Suggested Retail Price	Product Tax Code	Fulfillment Latency	Launch Date	Release Date	Restock Date	Quantity	Sale Price	Sale Start Date	Sale End Date	Max Aggregate Ship Quantity	Item Package Quantity	Offering Can Be Gift Messaged	Is Gift Wrap Available	Is Discontinued by Manufacturer?	Shipping-Template	Shipping Weight	Website Shipping Weight Unit Of Measure	Item Weight Unit Of Measure	Item Weight	Item Length Unit Of Measure	Item Length	Item Width	Item Height	Key Product Features1	Key Product Features2	Key Product Features3	Key Product Features4	Key Product Features5	Recommended Browse Nodes	Search Terms	Style Keyword1	Style Keyword2	Style Keyword3	Main Image URL	Other Image URL1	Other Image URL2	Other Image URL3	Other Image URL4	Other Image URL5	Other Image URL6	Swatch Image URL	Fulfillment Center ID	Package height	Package Width	Package Length	Package Length Unit Of Measure	Package Weight	Package Weight Unit Of Measure	Parentage	Parent SKU	Relationship Type	Variation Theme	CPSIA Warning Description	Cpsia Warning	Country of Origin	Style Name	Model Year	Closure Type	Department	Color	Color Map	Size	Material Fabric	Fur Description	Pattern Style	Occasion Lifestyle	Special Features	character	Sole Material	Heel Type	Shoe Height Map	Toe Style	Water Resistance Level	Lining Description
item_sku	item_name	external_product_id	external_product_id_type	brand_name	product_description	feed_product_type	model	update_delete	standard_price	list_price	product_tax_code	fulfillment_latency	product_site_launch_date	merchant_release_date	restock_date	quantity	sale_price	sale_from_date	sale_end_date	max_aggregate_ship_quantity	item_package_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	website_shipping_weight	website_shipping_weight_unit_of_measure	item_weight_unit_of_measure	item_weight	item_length_unit_of_measure	item_length	item_width	item_height	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	recommended_browse_nodes	generic_keywords	style_keywords1	style_keywords2	style_keywords3	main_image_url	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	swatch_image_url	fulfillment_center_id	package_height	package_width	package_length	package_length_unit_of_measure	package_weight	package_weight_unit_of_measure	parent_child	parent_sku	relationship_type	variation_theme	cpsia_cautionary_description	cpsia_cautionary_statement	country_of_origin	style_name	model_year	closure_type	department_name	color_name	color_map	size_name	material_type	fur_description	pattern_type	lifestyle	special_features	subject_character	sole_material	heel_type	height_map	toe_style	water_resistance_level	lining_description
zsl-taobang-men-taobang663	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes		UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES																												2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011					http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/05.jpg	http://img.hejiegm.cn/img/am/taobang663/10.jpg	http://img.hejiegm.cn/img/am/taobang663/17.jpg	http://img.hejiegm.cn/img/am/taobang663/15.jpg	http://img.hejiegm.cn/img/am/taobang663/19.jpg										Parent			sizecolor			China	model	2017		mens				75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-taobang-men-taobang663-Black-36	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes Black US 4.5 (EU 35)	6935409003908	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			47	94		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 best running shoe 2017 running shoes for a marathon best women's running shoes 2017 wwe feet slip on loafers for men ladies black slip on shoes women's wedge shoes underwear shoes air max shoes great training shoes black suede heels mens sneaker boots cute hiking boots shoes of men online men shoes running footwear tan loafers mens buy athletic shoes women's best running shoes 2017 open hiking shoes driving loafers casual black mens shoes fashion boots shoes shoes shoes gym training shoes best men workout shoes hot pink shoes ladies shoe sale online fashion sites kyboot shoes mens shoe shops mens shoes online cheap price ladies sneakers online trendy loafers online mens shoes dress most comfortable running shoes womens hiking sneakers womens evening pumps large size mens shoes top rated hiking boots	sports-fan	trail-running	gladiator	http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/02.jpg	http://img.hejiegm.cn/img/am/taobang663/03.jpg	http://img.hejiegm.cn/img/am/taobang663/04.jpg												Child	zsl-taobang-men-taobang663	Variation	sizecolor			China	model	2017		mens	Black	Black	US 4.5 ( EU 35 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-taobang-men-taobang663-Black-37	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes Black US 5 (EU 36)	6935409003915	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			47	94		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 all white casual shoes running racing shoes shoes off house waterproof boots trendy boots for women mens outdoor slip on shoes outdoor hiking shoes womens dress shoes online walking and hiking shoes fuschia heels wine colored heels silver evening shoes mens running trainers home of shoes running shoe stores men's loafer shoes black leather womens shoes buy women footwear shoes and more online shopping for footwear for ladies womens training trainers gryffindor shoes cross training shoes on sale into the old man's shoes colorful high heels running shoes with most cushion best lightweight stability running shoes white lace up heels most comfortable womens running shoes shoes for sports wear shoes or put on shoes holey shoes slippers for the elderly men best driver loafers all leather womens shoes	approach-hiking	slouch	backpacking	http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/02.jpg	http://img.hejiegm.cn/img/am/taobang663/03.jpg	http://img.hejiegm.cn/img/am/taobang663/04.jpg												Child	zsl-taobang-men-taobang663	Variation	sizecolor			China	model	2017		mens	Black	Black	US 5   ( EU 36 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-taobang-men-taobang663-Black-38	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes Black US 5.5 (EU 37)	6935409003922	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			47	94		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 men's neutral cushioned running shoes mens grey shoes waterproof spray for running shoes lightweight hiking boots womens super cushioned running shoes best shoes for gym womens fashion shoe sale womens shoe stores best marathon racing shoes leather casual shoes mens shoe waterproof spray mens suede casual shoes leather driving loafers running shoes for wide feet gold pumps shoes shoes air good man shoes m & s womens shoes buy mens shoes online cheap shoe sole wear lightweight running shoes womens most comfortable running shoes for men cheap fashion sneakers high top cross training shoes womens dress shoes blue man shoes mens grey driving shoes most comfortable trainers stylish shoes wedding shoes online best trainers for marathon best lightweight running shoes for men shoes high heels fashion	slouch	comfort	cross-trainers	http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/02.jpg	http://img.hejiegm.cn/img/am/taobang663/03.jpg	http://img.hejiegm.cn/img/am/taobang663/04.jpg												Child	zsl-taobang-men-taobang663	Variation	sizecolor			China	model	2017		mens	Black	Black	US 5.5 ( EU 37 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-taobang-men-taobang663-Black-39	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes Black US 6 (EU 38)	6935409003939	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			47	94		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 the best running shoes for women ravel shoes best shoes for cross training men mens wedding shoes mens sandals sale online kids athletic shoes flats for womens online breathable tennis shoes black running shoes men custom shoes sports shoes for men price mens casual boots sale best shoes for running 2017 mens grey casual shoes best cross training sneakers for men womens narrow shoes mens trainers online shoes made of cloth female sneakers online grey heels emerica shoes women footwear online sites 2017 best mens running shoes rainbow colored shoes hot pink high heels old lady white shoes red sneakers cheap fashion shoes slip on shoes mens bright colored pumps leather mens shoes mens leather shoes cheap walking boots mens men's slip on vagabond mens shoes comfortable waterproof shoes	road-biking	triathalon-multi-sport	cross-country-running	http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/02.jpg	http://img.hejiegm.cn/img/am/taobang663/03.jpg	http://img.hejiegm.cn/img/am/taobang663/04.jpg												Child	zsl-taobang-men-taobang663	Variation	sizecolor			China	model	2017		mens	Black	Black	US 6   ( EU 38 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-taobang-men-taobang663-Black-40	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes Black US 6.5 (EU 39)	6935409003946	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			47	94		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 most comfortable mens running shoes insulated shoes mens most supportive running shoes ladies leather shoes best sneakers fashion sneakers 2017 running shoes for men footwear online for ladies best running shoe for men cheap sneakers online mens slip on casual shoes driving shoes fashion colorful flat shoes mens shoes uk designer men's shoes ladies summer shoes wedding shoes old mens shoes mens rain shoes mens wide width shoes moccasins mens shoes running shoes max cushion cover shoes with fabric ladies stylish shoes lightweight comfortable shoes womens brand shoes how to clean white fabric shoes leather shoes price best shoes for underpronation affordable heels pink and gold heels best shoes for running men burtons mens shoes driving barefoot iron man light up shoes mens shoes sale	platform	gladiator	slouch	http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/02.jpg	http://img.hejiegm.cn/img/am/taobang663/03.jpg	http://img.hejiegm.cn/img/am/taobang663/04.jpg												Child	zsl-taobang-men-taobang663	Variation	sizecolor			China	model	2017		mens	Black	Black	US 6.5 ( EU 39 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-taobang-men-taobang663-Black-41	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes Black US 7 (EU 40)	6935409003953	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			47	94		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 mens gel shoes best shoes for running half marathon 2017 mens running shoes best fashion shoes best mens walking boots barefoot women purple multi colored heels most padded running shoes top women's cross training shoes crossfit shoes running shoes best best sneakers for women online footwear stores diy fabric shoes mens shoes casual is leather breathable shoes online for men trail boots sneaker boots for women man shoes online shopping waterproof shoes men breathable formal shoes sports shoe for mens running training mens shoes from spain drivers for men best jogging sneakers loafers for men online mens outdoor shoes online womens boat shoes best training shoes for men clog shoes running toe shoes summer shoes online mens black loafer shoes training for a marathon cross training for women	flats-cycling-shoes	comfort	cross-country-running	http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/02.jpg	http://img.hejiegm.cn/img/am/taobang663/03.jpg	http://img.hejiegm.cn/img/am/taobang663/04.jpg												Child	zsl-taobang-men-taobang663	Variation	sizecolor			China	model	2017		mens	Black	Black	US 7   ( EU 40 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-taobang-men-taobang663-Black-42	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes Black US 8 (EU 41)	6935409003960	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			47	94		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 trendy platform sandals bestylish shoes shoe for running driving shoes online hiking trainers short men shoes x training shoes dressy sneakers mens colorful athletic shoes womens fashion pumps quirky womens shoes cross trainer training court shoes how to paint cloth shoes discount cross training shoes semi casual shoes when should my baby start wearing shoes under pronation running shoes track shoes men mens dress shoes on sale fabric size guide shoes mans mens cross trainers stylish black shoes clear mens shoes sneakers women online branded loafer shoes affordable training shoes mens cross training shoes men sports shoes online sports shoes deals mens tan leather slip on shoes latest shoe fashion trendy mens shoes suede mens shoes loafers slippers for ladies online women flats online	triathalon-multi-sport	slouch	cross-country-running	http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/02.jpg	http://img.hejiegm.cn/img/am/taobang663/03.jpg	http://img.hejiegm.cn/img/am/taobang663/04.jpg												Child	zsl-taobang-men-taobang663	Variation	sizecolor			China	model	2017		mens	Black	Black	US 8   ( EU 41 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
zsl-taobang-men-taobang663-Black-43	King Wear Men's Outdoor Brushstroke Underlays Cushioning Climbing Tourism Sports Trail Running Shoes Black US 8.5 (EU 42)	6935409003977	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	SHOES			47	94		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	10293392011	 peach color shoes loafer shoes for men how to clean white cloth shoes mummy female online mens footwear shopping supination running shoes casual men shoes mens dress shoes online top rated cross training shoes 2017 men shoes shop womens running shoes sale cut shoes for ladies casual mens footwear best rated running shoes 2017 blue heels climbing shoes shoes for men and women men driving shoes air cushioned sole womens shoe sale adding fabric to shoes black heel pumps lightweight cross trainers branded sports shoes online jeans dress shoes roland shoes shop running shoes brown hiking shoes air cushion shoes for men ladies walking boots custom canvas shoes hiking shoes black should babies wear shoes running shoes for half marathon mensloafers is walking barefoot good for your feet	espadrille	d-orsay	spectator	http://img.hejiegm.cn/img/am/taobang663/01.jpg	http://img.hejiegm.cn/img/am/taobang663/02.jpg	http://img.hejiegm.cn/img/am/taobang663/03.jpg	http://img.hejiegm.cn/img/am/taobang663/04.jpg												Child	zsl-taobang-men-taobang663	Variation	sizecolor			China	model	2017		mens	Black	Black	US 8.5 ( EU 42 )	75% Mesh fabric/25% Rubber		Solid	Sports	cushioning		Fabric	no-heel	low-top	soft-toe	water_resistant	Fabric
