TemplateType=shoes	Version=2016.0721	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.							Offer-These attributes are required to make your item buyable for customers on the site																	Dimensions-These attributes specify the size and weight of a product								Discovery-These attributes have an effect on how customers can find your product on the site using browse or search									Images-These attributes provide links to images for a product								Fulfillment-Use these columns to provide fulfillment-related information for either Amazon-fulfilled (FBA) or seller-fulfilled orders.							Variation-Populate these attributes if your product is available in different variations (for example color or wattage)				Compliance-Attributes used to comply with consumer laws in the country or region where the item is sold				Ungrouped - These attributes create rich product listings for your buyers.																																																									
Seller SKU	Product Name	Product ID	Product ID Type	Brand	Product Description	Item Type	Style Number	Update Delete	Standard Price	Manufacturer's Suggested Retail Price	Product Tax Code	Fulfillment Latency	Launch Date	Release Date	Restock Date	Quantity	Sale Price	Sale Start Date	Sale End Date	Max Aggregate Ship Quantity	Item Package Quantity	Offering Can Be Gift Messaged	Is Gift Wrap Available	Is Discontinued by Manufacturer?	Shipping-Template	Shipping Weight	Website Shipping Weight Unit Of Measure	Item Weight	Item Weight Unit Of Measure	Item Length	Item Width	Item Height	Item Dimensions Unit Of Measure	Bullet Point1	Bullet Point2	Bullet Point3	Bullet Point4	Bullet Point5	Search Terms	Style Keyword1	Style Keyword2	Style Keyword3	Main Image URL	Other Image URL1	Other Image URL2	Other Image URL3	Other Image URL4	Other Image URL5	Other Image URL6	Swatch Image URL	Fulfillment Center ID	Package height	Package Width	Package Length	Package Dimensions Unit Of Measure	Package Weight	Package Weight Unit Of Measure	Parentage	Parent SKU	Relationship Type	Variation Theme	Consumer Notice	CPSIA Warning Description	Cpsia Warning	Import Designation	Style Name	character	Model Year	Closure Type	Department	Color	Color Map	Size	Material Fabric1	Material Fabric2	Country as Labeled	Fur Description	Pattern Style	Occasion Lifestyle	Special Features	Size Map	Lens Color	Lens Color Map	Magnification Strength	Frame Material Type	Lens Material Type	Item Shape	Polarization Type	Eyewear Unit Of Measure	Lens Width	Bridge Width	Arm Length	Lens Height	Arm Length Unit of Measure	Lens Height Unit of Measure	Lens Width Unit of Measure	Unit of Measure for Width of the Bridge	Strap Type	Lining Description	Shoulder Strap Drop	Shoulder Strap Drop Unit Of Measure	Sole Material	Heel Type	Shoe Height Map	Toe Style	Arch Type	Cleat Description	Cleat Material Type	Team Name	Shaft Height	Platform Height	Water Resistance Level	Special Size Type1	Special Size Type2	Special Size Type3	Special Size Type4	Special Size Type5	Special Size Type6	Special Size Type7	Special Size Type8	Special Size Type9	Special Size Type10	Shaft Height Unit Of Measure
item_sku	item_name	external_product_id	external_product_id_type	brand_name	product_description	item_type	model	update_delete	standard_price	list_price	product_tax_code	fulfillment_latency	product_site_launch_date	merchant_release_date	restock_date	quantity	sale_price	sale_from_date	sale_end_date	max_aggregate_ship_quantity	item_package_quantity	offering_can_be_gift_messaged	offering_can_be_giftwrapped	is_discontinued_by_manufacturer	merchant_shipping_group_name	website_shipping_weight	website_shipping_weight_unit_of_measure	item_weight	item_weight_unit_of_measure	item_length	item_width	item_height	item_dimensions_unit_of_measure	bullet_point1	bullet_point2	bullet_point3	bullet_point4	bullet_point5	generic_keywords	style_keywords1	style_keywords2	style_keywords3	main_image_url	other_image_url1	other_image_url2	other_image_url3	other_image_url4	other_image_url5	other_image_url6	swatch_image_url	fulfillment_center_id	package_height	package_width	package_length	package_dimensions_unit_of_measure	package_weight	package_weight_unit_of_measure	parent_child	parent_sku	relationship_type	variation_theme	prop_65	cpsia_cautionary_description	cpsia_cautionary_statement	import_designation	style_name	subject_character	model_year	closure_type	department_name	color_name	color_map	size_name	material_type1	material_type2	country_as_labeled	fur_description	pattern_type	lifestyle	special_features	size_map	lens_color	lens_color_map	magnification_strength	frame_material_type	lens_material_type	item_shape	polarization_type	eyewear_unit_of_measure	lens_width	bridge_width	arm_length	lens_height	arm_length_unit_of_measure	lens_height_unit_of_measure	lens_width_unit_of_measure	bridge_width_unit_of_measure	strap_type	lining_description	shoulder_strap_drop	shoulder_strap_drop_unit_of_measure	sole_material	heel_type	height_map	toe_style	arch_type	cleat_description	cleat_material_type	team_name	shaft_height	platform_height	water_resistance_level	special_size_type1	special_size_type2	special_size_type3	special_size_type4	special_size_type5	special_size_type6	special_size_type7	special_size_type8	special_size_type9	special_size_type10	shaft_height_unit_of_measure
zsl-szak-men-6766	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes		UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers																												2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."		track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/02.jpg	http://img.hejiegm.cn/img/am/aoka6766/04.jpg	http://img.hejiegm.cn/img/am/aoka6766/05.jpg												Parent			Size/Color					model		2017	drawstring	mens				fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
zsl-szak-men-6766-grey-6	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 6   ( EU 38 )	603432538150 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers			36.99	73.98		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	 italian driving moccasins patent shoes tennis shoes mens shoes sale online hiking boots leather shoes that breathe the best where to shop for shoes online casual mens footwear altai mummy suede driver loafers shopping online shoes best trainer shoes 2017 breathable athletic shoes mummy remains rain hiking boots stretch shoes best shoes for distance running cheap shoe stores running shoes 2016 mens racing shoes running equipment boot sandals dress shoes womens ladies latest shoes best casual mens shoes men's walking shoes most comfortable running sneakers best running shoes for men 2017 womens gym shoes crossfit womens shoes brown suede driving loafers climbing sandals training shoes mens discount cross training shoes waterproof outdoor boots is going barefoot healthy running shoes 2015	track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	Size/Color					model		2017	drawstring	mens	grey	grey	US 6   ( EU 38 )	fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
zsl-szak-men-6766-grey-6.5	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 6.5 ( EU 39 )	603432538167 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers			36.99	73.98		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	 large size shoes mod podge boots slip on hiking boots buy cheap shoes shop shoes stylish shoes for womens best rated cross training shoes 2017 casual leather shoes black shoes for men womans shoes motorsport racing shoes sports shoes online shopping cash on delivery marathon training program addidas running shoes cross trainer shoes for women mensloafers mens shoes cheap online shoes for men online sport shuj high cushioned running shoes mens shoes online store air cushion shoes women footwear heels buy mens shoes online natural running shoes cross training asics taupe color shoes barefoot running shoes leather casual shoes mens shoes casual mens men gold loafers cushioned trainers best lifting and running shoes free shoes black driving loafers waterproof shoes boots wearing small shoes	track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	Size/Color					model		2017	drawstring	mens	grey	grey	US 6.5 ( EU 39 )	fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
zsl-szak-men-6766-grey-7	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 7   ( EU 40 )	603432538174 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers			36.99	73.98		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	 mens trainers online top marathon shoes mens dress tennis shoes latest casual shoes for men best all around running shoe bridesmaid shoes stylish women's boots cut shoes for men outdoor shoes for women on running shoes mens loafers drivers best stability running shoes for women sega running shoes ladies online shoes formal men shoes nude high heels running shoes max cushion fabric slip on shoes sneakers with cushion rocket dog shoes neutral running shoes waterproof walking boots mens the waring house running cross training shoes mens grey running shoes chrome sneakers best men's cross trainers men shoes casual lightweight breathable trainers ultra marathon shoes men shoes on sale walking hiking shoes green driving shoes womens trendy shoes womens shoe boots mens shoes for women	track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	Size/Color					model		2017	drawstring	mens	grey	grey	US 7   ( EU 40 )	fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
zsl-szak-men-6766-grey-8	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 8   ( EU 41 )	603432538181 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers			36.99	73.98		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	 brown shoes casual wear top 10 cross training shoes high heels new trending shoes nude heels best rated running shoes cheap men casual shoes flat running shoes next driving shoes cool sneakers for ladies fashion shoe warehouse online shopping offers shoes fashionable sneakers gel cushions for shoes best running shoes womens 2016 female running shoes take off shoes in house best women's workout shoes mens training sneakers waterproof your shoes cheap running shoes for women lightest running shoes red heels velvet mens loafers where to buy athletic shoes shoes purchase shoes in the house germs sport shoes brands sneaker boots womens good running shoes men best running shoe 2017 mens pumps shoes best shoes cross training mod shoes ladies casual footwear for men latest heels in fashion	track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	Size/Color					model		2017	drawstring	mens	grey	grey	US 8   ( EU 41 )	fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
zsl-szak-men-6766-grey-8.5	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 8.5 ( EU 42 )	603432538198 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers			36.99	73.98		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	 dress casual mens shoes trendy shoes for men latest fashion shoes 2017 best womens trainers most comfortable shoes womens shoes websites mens white dress shoes casual mens buy leather shoes cross trainer runners women wearing shoes best online shoe store for men top shoes 2017 the best cross training shoes best site to buy running shoes mens suede shoes loafers casual shoes for men branded running flats car shoe online shop for shoes womens training shoe dress shoes with air bubble best running shoes 2016 women's running cleats womens shoes online sale triathlon running shoes men dress shoes ladies shoes on sale online italian shoes online best road running shoes 2016 cushion sole sandals dressy brown shoes best shoe for running mens casual shoes 2017 breathable kids shoes cool casual mens shoes	track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	Size/Color					model		2017	drawstring	mens	grey	grey	US 8.5 ( EU 42 )	fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
zsl-szak-men-6766-grey-9.5	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 9.5 ( EU 43 )	603432538204 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers			36.99	73.98		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	 keep your shoes outside door racing running shoes fabric mules how to wear a shoe high top cross trainers women's hiking shoe best shoes for running men neutral cushioned running shoes women's footwear online shopping top cross training shoes for women waterproof winter shoes volatile shoes corporate casual shoes multi heels outdoor wear fabric for shoes best shoes for marathon running breathable sandals footwear sports waterproof hiking shoes fashion high heel shoes breathable shoes mens comfort running shoes shoes new style slip on womens shoes lifting and running shoes womens shoe stores online sport shoes sneakers leather driving shoes mens colorful sneakers best trail running shoes 2016 walking waterproof shoes stylish mens shoes high top workout shoes womens stylish boots	track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	Size/Color					model		2017	drawstring	mens	grey	grey	US 9.5 ( EU 43 )	fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
zsl-szak-men-6766-grey-10.5	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 10.5( EU 44.5 )	603432538211 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers			36.99	73.98		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	 trendy pumps high shoes men's winter hiking boots hiking shoes ladies shoe stores sneakers womens shoes on sale online best cross trainer shoes trekking shoes waterproof online air shoes high heel pumps shoes shoes in house size 14 loafers enzo shoes mens brown shoes casual womens shoes size 11 black suede drivers mens athletic shoes casual shoes for mens mens tan driving shoes shoes for men online shopping how to clean fabric on shoes men shoes on line mens leather shoes casual cushion air fabrik shoes best running shoes cushion mia shoes men sports shoes cushion technology mens suede driving loafers womens fashion boots training for a marathon best men's hiking boots cross training women nana shoes wear shoes womens wide dress shoes new casual shoes driving moc shoes trendy hiking boots	track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	Size/Color					model		2017	drawstring	mens	grey	grey	US 10.5( EU 44.5 )	fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
zsl-szak-men-6766-grey-11	King Wear Men's Breathable and Wearable Fashion Outdoor Sports Runnin Shoes Grey US 11  ( EU 45 )	603432538228 	UPC	King wear	"<br>Welcome to King wear, Our design is with The Times, The latest design makes you feel excited.</br><br>We provide high quality products and excellent after-sales. Please contact us if you have any questions.</br><br>When choosing a product, make sure to choose the right size. Thank you.</br>"	Fashion Sneakers			36.99	73.98		4				20																		2017 New style Soft Light Comfortable Wear-resisting	Good quality and Suitable for Four Seasons	"Fly woven fabric and Rubber sole style, Non-slip Wearable Deodorant."	Apply To Running Tourism Outdoor Sports Party Driving Walk Work	"Please confirm the right size, Size is the standard sports shoes size. Thank you."	 mens dress sandals colorful womens tennis shoes wearing shoes inside the house decent running shoes suede mens shoes best heel cushioned running shoes mens moc shoes outlet shoes hot pink pumps black fashion shoes super light running shoes ladies walking boots buy shoes for women online sport casual shoes fabric trainers sports direct shoes hiking lightweight running trainers driving moccasins men most popular running shoes trail running shoes waterproof ladies running shoes online shoes order high top running shoes latest mens casual shoes best runners for running house wear blue running shoes sneakers for cross training satin shoes best workout tennis shoes best jogging trainers cute women best lightweight cross training shoes womens slippers online ladies half shoes best supportive running shoes	track-shoes	trail-running	triathalon-multi-sport	http://img.hejiegm.cn/img/am/aoka6766/01.jpg	http://img.hejiegm.cn/img/am/aoka6766/07.jpg														Child	zsl-szak-men-6766	Variation	Size/Color					model		2017	drawstring	mens	grey	grey	US 11  ( EU 45 )	fabric	rubber	China		solid	Fashion	cushioning					Composite	Composite	sport	polarized										handle(s)	fabric			rubber	no-heel	low-top	composite-toe	neutral	interchangable-cleats	molded-cleats		Ankle		water_resistant											
